_id,Periode,Skolekode,Skolenavn,Antal,lat,lng,Adresse,Postnr,Postdist,LINK,Ledernavn,Ledermail,Opdateret
21,202405,751026,Mårslet Skole,856,56.068867,10.157019,Testrupvej 4,8320,Mårslet,https://maarsletskole.aarhus.dk,Inge Pedersen,iped@aarhus.dk,2024-05-07T07:15:00
22,202405,751027,Frederiksbjerg skole,867,56.144764,10.19848,Ingerslevs Boulevard 2A,8000,Aarhus C,https://frederiksbjergskole.aarhus.dk,Peder Jensen Pedersen,pjpe@aarhus.dk,2024-05-07T07:15:00
23,202405,751032,Risskov Skole,992,56.192966,10.229043,Vestre Strandallé 97,8240,Risskov,https://risskovskole.aarhus.dk,Preben Stadsgaard,preso@aarhus.dk,2024-05-07T07:15:00
24,202405,751033,Rosenvangskolen,641,56.131271,10.183323,Rosenvangs Allé 49,8260,Viby J,https://rosenvangskolen.aarhus.dk,Jasper Staffensen,jasst@aarhus.dk,2024-05-07T07:15:00
25,202405,751034,Rundhøjskolen,579,56.118412,10.178171,Holmevej 200,8270,Højbjerg,https://rundhoejskolen.aarhus.dk,Mads Neergaard Jacobsen,mnj@aarhus.dk,2024-05-07T07:15:00
26,202405,751035,Sabro-Korsvejskolen,647,56.211243,10.023426,Sabro Skolevej 4A,8471,Sabro,https://sabrokorsvejskolen.aarhus.dk,Stine Valsgaard Tegen,svt@aarhus.dk,2024-05-07T07:15:00
27,202405,751036,Samsøgades Skole,483,56.162449,10.20254,Ny Munkegade 17,8000,Aarhus C,https://samsoegadesskole.aarhus.dk,Trine Romby Kolbeck,trko@aarhus.dk,2024-05-07T07:15:00
28,202405,751038,Skovvangskolen,576,56.175533,10.208733,Skovvangsvej 150,8200,Aarhus N,https://skovvangskolen.aarhus.dk,Søren Hildebrand,sohi@aarhus.dk,2024-05-07T07:15:00
29,202405,751039,Skødstrup Skole,1319,56.271587,10.308501,Rosenbakken 4,8541,Skødstrup,https://skoedstrupskole.aarhus.dk,Søren Skalkhøj Petersen,sospe@aarhus.dk,2024-05-07T07:15:00
30,202405,751040,Skåde Skole,587,56.104164,10.207989,Mantziusvej 5,8270,Højbjerg,https://skaadeskole.aarhus.dk,Mogens Steen Petersen,mope@aarhus.dk,2024-05-07T07:15:00
31,202405,751041,Solbjergskolen,845,56.042149,10.084158,Kærgårdsvej 4,8355,Solbjerg,https://solbjergskolen.aarhus.dk,Jens Kristensen,jenkr@aarhus.dk,2024-05-07T07:15:00
32,202405,751042,Strandskolen,725,56.200199,10.244444,Nellikevej 1,8240,Risskov,https://strandskolen.aarhus.dk,Kristine Ravn Fogemann,krf@aarhus.dk,2024-05-07T07:15:00
33,202405,751043,Sølystskolen,739,56.211697,10.283297,Egå Havvej 5,8250,Egå,https://soelystskolen.aarhus.dk,Janus Laier,jasajel@aarhus.dk,2024-05-07T07:15:00
34,202405,751044,Søndervangskolen,337,56.111263,10.149488,Søndervangs Allé 40,8260,Viby J,https://soendervangskolen.aarhus.dk,Claus Brønderup Sørensen,clabs@aarhus.dk,2024-05-07T07:15:00
35,202405,751045,Tilst Skole,602,56.189537,10.113276,Tåstumvænget 8,8381,Tilst,https://tilstskole.aarhus.dk,Lone Gunhild Margrethe Jørgensen,logmaj@aarhus.dk,2024-05-07T07:15:00
36,202405,751046,Hårup Skole,328,56.288342,10.216692,Salonikivej 14,8530,Hjortshøj,https://elevhaarup.aarhus.dk,Jens Mathiasen,jenma@aarhus.dk,2024-05-07T07:15:00
37,202405,280458,Tranbjergskolen,1054,56.090076,10.14048,Kirketorvet 22,8310,Tranbjerg J,https://tranbjergskolen.aarhus.dk,Birgitte Agersnap,agbi@aarhus.dk,2024-05-07T07:15:00
38,202405,751050,Vestergårdsskolen,461,56.129375,10.156499,Nordbyvej 25,8260,Viby J,https://vestergaardsskolen.aarhus.dk,Lisbet Collett-Overgaard,lisco@aarhus.dk,2024-05-07T07:15:00
39,202405,751051,Viby Skole,506,56.127964,10.164447,Kirkevej 2A,8260,Viby J,https://vibyskole.aarhus.dk,Dorte Marianne Jensen,domjen@aarhus.dk,2024-05-07T07:15:00
40,202405,751052,Virupskolen,647,56.243191,10.272163,Virupvej 75,8530,Hjortshøj,https://virupskolen.aarhus.dk,Martin Christensen,martchr@aarhus.dk,2024-05-07T07:15:00
41,202405,751053,Vorrevangskolen,469,56.185951,10.199095,Vorregårds Allé 109,8200,Aarhus N,https://vorrevangskolen.aarhus.dk,Lars B. Poulsen,larsbp@aarhus.dk,2024-05-07T07:15:00
42,202405,751054,Åby Skole,766,56.150635,10.164974,Åbyvej 80,8230,Åbyhøj,https://aabyskole.aarhus.dk,Ole Buskbjerg Thomasen,obt@aarhus.dk,2024-05-07T07:15:00
43,202405,751055,Næshøjskolen,573,56.146523,9.9988079,Gammel Stillingvej 424A,8462,Harlev J,https://naeshoejskolen.aarhus.dk,Lars Mølgaard,larmo@aarhus.dk,2024-05-07T07:15:00
44,202405,751056,Skæring Skole,826,56.226681,10.298241,Skæring Skolevej 200,8250,Egå,https://skaeringskole.aarhus.dk,Anne Schwartz,schw@aarhus.dk,2024-05-07T07:15:00
45,202405,751065,Skjoldhøjskolen,452,56.174107,10.113787,Skjoldhøjvej 11,8381,Tilst,https://skjoldhoejskolen.aarhus.dk,Astrid Bernhard,asbe@aarhus.dk,2024-05-07T07:15:00
46,202405,751066,Lystrup Skole,527,56.236736,10.229774,Lystrupvej 256A,8520,Lystrup,https://lystrupskole.aarhus.dk,Katja Franziska Uth,ukf@aarhus.dk,2024-05-07T07:15:00
47,202405,751090,Langagerskolen,279,56.118366,10.133548,Bøgeskov Høvej 10,8260,Viby J,https://langagerskolen.aarhus.dk,Jens Frostholm,jfro@aarhus.dk,2024-05-07T07:15:00
48,202405,751221,Netværksskolen,51,56.213264,10.171948,Randersvej 302,8200,Aarhus N,,Jens Erik Stryhn,jeris@aarhus.dk,2024-05-07T07:15:00
49,202405,281401,Ellehøjskolen,266,56.169418,10.150394,Jernaldervej 5,8210,Aarhus V,https://ellehoejskolen.aarhus.dk,Helle Mønster,helmo@aarhus.dk,2024-05-07T07:15:00
